GenotypeID,Class
D00272085,Offspring
D00272056,Offspring
D00223323,Offspring
D00272055,Offspring
D00272141,Offspring
D00272080,Offspring
D00223176,Offspring
D00222992,Offspring
D00223279,Offspring
D00272150,Offspring
D00272094,Offspring
D00272152,Offspring
D00272071,Offspring
D00222281,Offspring
D00223988,Offspring
D00272104,Offspring
D00272048,Offspring
D00223201,Offspring
D00224162,Offspring
D00272118,Offspring
D00223641,Offspring
D00272102,Offspring
D00272121,Offspring
D00272103,Offspring
D00222793,Offspring
D00272111,Offspring
D00222692,Offspring
D00272114,Offspring
D00272140,Offspring
D00272059,Offspring
D00223592,Offspring
D00272053,Offspring
D00223322,Offspring
D00222808,Offspring
D00224558,Offspring
D00272061,Offspring
D00223931,Offspring
D00224239,Offspring
D00224076,Offspring
D00223890,Offspring
D00222006,Offspring
D00223285,Offspring
D00224218,Offspring
D00223857,Offspring
D00222484,Offspring
D00221896,Offspring
D00222872,Offspring
D00222868,Offspring
D00224410,Offspring
D00224155,Offspring
D00272109,Offspring
D00272046,Offspring
D00224397,Offspring
D00223256,Offspring
D00222892,Offspring
D00224896,Offspring
D00223502,Offspring
D00222261,Offspring
D00223045,Offspring
D00225233,Offspring
D00222645,Offspring
D00223405,Offspring
D00221895,Offspring
D00220261,Offspring
D00272057,Offspring
D00224906,Offspring
D00272138,Offspring
D00220257,Offspring
D00224675,Offspring
D00223135,Offspring
D00272082,Offspring
D00223762,Offspring
D00272144,Offspring
D00222239,Offspring
D00272148,Offspring
D00224375,Offspring
D00223432,Offspring
D00272088,Offspring
D00223351,Offspring
D00224176,Offspring
D00223365,Offspring
D00222338,Offspring
D00223598,Offspring
D00224139,Offspring
D00223105,Offspring
D00223275,Offspring
D00221963,Offspring
D00224085,Offspring
D00223799,Offspring
D00220277,Offspring
D00222694,Offspring
D00222895,Offspring
D00222847,Offspring
D00223655,Offspring
D00220921,Offspring
D00223194,Offspring
D00223533,Offspring
D00272129,Offspring
D00223183,Offspring
D00223947,Offspring
D00224003,Offspring
D00222013,Offspring
D00223868,Offspring
D00222114,Offspring
D00222801,Offspring
D00223274,Offspring
D00224326,Offspring
D00224820,Offspring
D00272087,Offspring
D00224902,Offspring
D00223311,Offspring
D00272107,Offspring
D00222855,Offspring
D00272036,Offspring
D00223520,Offspring
D00221915,Offspring
D00223646,Offspring
D00272060,Offspring
D00224553,Offspring
D00272127,Offspring
D00223708,Offspring
D00222532,Offspring
D00223994,Offspring
D00272065,Offspring
D00223878,Offspring
D00272058,Offspring
D00224799,Offspring
D00272066,Offspring
D00222564,Offspring
D00272132,Offspring
D00224578,Offspring
D00222205,Offspring
D00272045,Offspring
D00225170,Offspring
D00221900,Offspring
D00222790,Offspring
D00222634,Offspring
D00224395,Offspring
D00223893,Offspring
D00272067,Offspring
D00222989,Offspring
D00224114,Offspring
D00272064,Offspring
D00224926,Offspring
D00224115,Offspring
D00223082,Offspring
D00272113,Offspring
D00223025,Offspring
D00223532,Offspring
D00225226,Offspring
D00223508,Offspring
D00223320,Offspring
D00223367,Offspring
D00224337,Offspring
D00224067,Offspring
D00223185,Offspring
D00272081,Offspring
D00223873,Offspring
D00224467,Offspring
D00224768,Offspring
D00222413,Offspring
D00222985,Offspring
D00224807,Offspring
D00272079,Offspring
D00272153,Offspring
D00272092,Offspring
D00224250,Offspring
D00224862,Offspring
D00272120,Offspring
D00222400,Offspring
D00222269,Offspring
D00272075,Offspring
D00224821,Offspring
D00223346,Offspring
D00272090,Offspring
D00223851,Offspring
D00272125,Offspring
D00224386,Offspring
D00272040,Offspring
D00272156,Offspring
D00225199,Offspring
D00272161,Offspring
D00272130,Offspring
D00272084,Offspring
D00220580,Offspring
D00272039,Offspring
D00272143,Offspring
D00224117,Offspring
D00272100,Offspring
D00222503,Offspring
D00272069,Offspring
D00272044,Offspring
D00272073,Offspring
D00272145,Offspring
D00222675,Offspring
D00221996,Offspring
D00272139,Offspring
D00712069,Offspring
D00713790,Offspring
D00712148,Offspring
D00713904,Offspring
D00713143,Offspring
D00713779,Offspring
D00712550,Offspring
D00713876,Offspring
D00711664,Offspring
D00712187,Offspring
D00712206,Offspring
D00711740,Offspring
D00711849,Offspring
D00711734,Offspring
D00711567,Offspring
D00711171,Offspring
D00712438,Offspring
D00713121,Offspring
D00712962,Offspring
D00712396,Offspring
D00713743,Offspring
D00713710,Offspring
D00711374,Offspring
D00711148,Offspring
D00713521,Offspring
D00713193,Offspring
D00711935,Offspring
D00713649,Offspring
D00712405,Offspring
D00713622,Offspring
D00272133,Offspring
D00272128,Offspring
D00272106,Offspring
D00272134,Offspring
D00712912,Offspring
D00714000,Offspring
D00712854,Offspring
D00711620,Offspring
D00712023,Offspring
D00272131,Offspring
D00272160,Offspring
D00272108,Offspring
D00272043,Offspring
D00272093,Offspring
D00272096,Offspring
D00272091,Offspring
D00222904,Offspring
D00272124,Offspring
D00272159,Offspring
D00272076,Offspring
D00272054,Offspring
D00272105,Offspring
D00272136,Offspring
D00272050,Offspring
D00272099,Offspring
D00272110,Offspring
D00223695,Offspring
D00272123,Offspring
D00272137,Offspring
